ELECTRONIC OLFACTORY SYSTEM CLASSIFICATION RESULTS
14-Feb-2022 13:13:29

Training set: C:\users\jdaniel\Escritorio\NUEVO ENTRENAMIENTO\ENTRENAMIENTO_II_02022021.fs
Match set: C:\users\jdaniel\Escritorio\NUEVO ENTRENAMIENTO\MUESTRAS PROBLEMA\compilados_14022022_conlampantes.ds
Recognition algorithm: KNN: 0 2: NO_DRED: 0: [1 2 3 4]: STD: 2
Feature extraction algorithm: [2 3 4 6], , § Classical [1 0 2 7 0 0], 1
N pattern: 75

  N |              True label |      Match label

  1 |     [Compound=2021001A] | [CATA=AOVE](55.5%) [CATA=AOV](23.1%) [CATA=LAM](21.3%) 
  2 |     [Compound=2021001B] | [CATA=AOVE](49.5%) [CATA=AOV](26.2%) [CATA=LAM](24.3%) 
  3 |     [Compound=2021001C] | [CATA=AOVE](44.5%) [CATA=AOV](28.9%) [CATA=LAM](26.5%) 
  4 |     [Compound=2021002A] | [CATA=AOVE](41.6%) [CATA=AOV](30.5%) [CATA=LAM](27.8%) 
  5 |     [Compound=2021002B] | [CATA=AOVE](48.5%) [CATA=AOV](27.2%) [CATA=LAM](24.2%) 
  6 |     [Compound=2021002C] | [CATA=AOVE](42.2%) [CATA=AOV](30.4%) [CATA=LAM](27.4%) 
  7 |     [Compound=2021003A] | [CATA=AOVE](41.4%) [CATA=AOV](31.2%) [CATA=LAM](27.4%) 
  8 |     [Compound=2021003B] | [CATA=AOVE](41.7%) [CATA=AOV](31.4%) [CATA=LAM](26.8%) 
  9 |     [Compound=2021003C] | [CATA=AOVE](48.0%) [CATA=AOV](27.9%) [CATA=LAM](24.2%) 
 10 |     [Compound=2021004A] | [CATA=AOV](46.7%) [CATA=LAM](29.4%) [CATA=AOVE](23.9%) 
 11 |     [Compound=2021004B] | [CATA=AOV](47.3%) [CATA=LAM](26.7%) [CATA=AOVE](25.9%) 
 12 |     [Compound=2021004C] | [CATA=AOV](37.8%) [CATA=AOVE](33.8%) [CATA=LAM](28.4%) 
 13 |     [Compound=2021005A] | [CATA=AOVE](36.9%) [CATA=AOV](34.7%) [CATA=LAM](28.4%) 
 14 |     [Compound=2021005B] | [CATA=AOV](41.0%) [CATA=AOVE](30.1%) [CATA=LAM](28.9%) 
 15 |     [Compound=2021005C] | [CATA=AOV](51.0%) [CATA=LAM](25.4%) [CATA=AOVE](23.7%) 
 16 |     [Compound=2021006A] | [CATA=AOVE](55.2%) [CATA=AOV](23.8%) [CATA=LAM](21.0%) 
 17 |     [Compound=2021006B] | [CATA=AOVE](48.8%) [CATA=AOV](27.7%) [CATA=LAM](23.5%) 
 18 |     [Compound=2021006C] | [CATA=AOVE](45.1%) [CATA=AOV](29.9%) [CATA=LAM](25.0%) 
 19 |     [Compound=2021007A] | [CATA=AOVE](40.8%) [CATA=AOV](32.0%) [CATA=LAM](27.2%) 
 20 |     [Compound=2021007B] | [CATA=AOVE](40.5%) [CATA=AOV](32.1%) [CATA=LAM](27.4%) 
 21 |     [Compound=2021007C] | [CATA=AOVE](48.9%) [CATA=AOV](27.8%) [CATA=LAM](23.3%) 
 22 |     [Compound=2021008A] | [CATA=AOV](43.8%) [CATA=LAM](29.0%) [CATA=AOVE](27.2%) 
 23 |     [Compound=2021008B] | [CATA=AOV](47.2%) [CATA=LAM](29.6%) [CATA=AOVE](23.2%) 
 24 |     [Compound=2021008C] | [CATA=AOV](48.2%) [CATA=LAM](29.6%) [CATA=AOVE](22.3%) 
 25 |     [Compound=2021009A] | [CATA=AOV](46.6%) [CATA=LAM](30.4%) [CATA=AOVE](23.0%) 
 26 |     [Compound=2021009B] | [CATA=AOV](40.7%) [CATA=LAM](36.7%) [CATA=AOVE](22.7%) 
 27 |     [Compound=2021009C] | [CATA=AOV](45.4%) [CATA=LAM](30.8%) [CATA=AOVE](23.9%) 
 28 |     [Compound=2021010A] | [CATA=AOV](38.9%) [CATA=LAM](31.0%) [CATA=AOVE](30.1%) 
